Rank,Player,Team,Position,Points,Games,Avg
4,Patrick Mahomes II,KC,QB,380.3,15,25.4
1,Josh Allen,BUF,QB,405.2,16,25.3
2,Kyler Murray,ARI,QB,390.7,16,24.4
222,Christian McCaffrey,CAR,RB,73.3,3,24.4
3,Aaron Rodgers,GB,QB,387.1,16,24.2
5,Deshaun Watson,HOU,QB,376.4,16,23.5
6,Russell Wilson,SEA,QB,372.6,16,23.3
9,Justin Herbert,LAC,QB,342.8,15,22.9
10,Lamar Jackson,BAL,QB,341.7,15,22.8
7,Ryan Tannehill,TEN,QB,350.3,16,21.9
8,Tom Brady,TB,QB,350,16,21.9
14,Dalvin Cook,MIN,RB,293.8,14,21
11,Kirk Cousins,MIN,QB,319.2,16,20
13,Alvin Kamara,NO,RB,294.8,15,19.7
12,Derrick Henry,TEN,RB,314.1,16,19.6
17,Ben Roethlisberger,PIT,QB,277.2,15,18.5
15,Matt Ryan,ATL,QB,293.3,16,18.3
55,Gardner Minshew II,JAC,QB,164.5,9,18.3
19,Cam Newton,NE,QB,269.3,15,18
27,Drew Brees,FA,QB,215.4,12,18
43,Joe Burrow,CIN,QB,178.6,10,17.9
28,Carson Wentz,IND,QB,213.4,12,17.8
16,Derek Carr,LV,QB,281,16,17.6
24,Davante Adams,GB,WR,243.4,14,17.4
18,Matthew Stafford,LAR,QB,270.5,16,16.9
21,Jared Goff,DET,QB,253,15,16.9
22,Teddy Bridgewater,DEN,QB,252.1,15,16.8
56,Mitchell Trubisky,BUF,QB,161.8,10,16.2
25,Tyreek Hill,KC,WR,241.9,15,16.1
58,Ryan Fitzpatrick,WAS,QB,160.7,10,16.1
20,Baker Mayfield,CLE,QB,255.8,16,16
36,Nick Chubb,CLE,RB,191.7,12,16
23,Philip Rivers,FA,QB,251,16,15.7
29,Aaron Jones,GB,RB,211.9,14,15.1
35,Drew Lock,DEN,QB,196.4,13,15.1
26,Jonathan Taylor,IND,RB,216.8,15,14.5
33,James Robinson,JAC,RB,201.4,14,14.4
30,David Montgomery,CHI,RB,210.8,15,14.1
88,Tua Tagovailoa,MIA,QB,140.4,10,14
31,Travis Kelce,KC,TE,207.8,15,13.9
463,John Wolford,LAR,QB,13.8,1,13.8
38,Daniel Jones,NYG,QB,190.2,14,13.6
34,Josh Jacobs,LV,RB,198.3,15,13.2
82,Andy Dalton,CHI,QB,143.9,11,13.1
213,Joe Mixon,CIN,RB,78.6,6,13.1
249,Mike Glennon,NYG,QB,65.5,5,13.1
37,Calvin Ridley,ATL,WR,191.5,15,12.8
110,Nick Mullens,PHI,QB,128.2,10,12.8
45,A.J. Brown,TEN,WR,177.5,14,12.7
32,Stefon Diggs,BUF,WR,201.6,16,12.6
68,Chris Carson,SEA,RB,150.8,12,12.6
141,Nick Foles,CHI,QB,112.1,9,12.5
98,Will Fuller V,MIA,WR,135.9,11,12.4
121,Myles Gaskin,MIA,RB,123.2,10,12.3
74,David Johnson,HOU,RB,146.5,12,12.2
80,Sam Darnold,CAR,QB,145,12,12.1
42,Adam Thielen,MIN,WR,180,15,12
473,Tristan Vizcaino,LAC,K,12,1,12
53,Antonio Gibson,WAS,RB,166.2,14,11.9
85,Miles Sanders,PHI,RB,142.4,12,11.9
39,D.K. Metcalf,SEA,WR,188.3,16,11.8
477,Taylor Heinicke,WAS,QB,11.7,1,11.7
40,Justin Jefferson,MIN,WR,186.2,16,11.6
233,Jimmy Garoppolo,SF,QB,69.4,6,11.6
48,Ezekiel Elliott,DAL,RB,171.7,15,11.5
273,Joe Flacco,PHI,QB,57.7,5,11.5
307,Kyle Allen,WAS,QB,46.1,4,11.5
343,Jake Luton,JAC,QB,34.3,3,11.4
41,Kareem Hunt,CLE,RB,180.5,16,11.3
59,Ronald Jones II,TB,RB,158.3,14,11.3
44,Mike Evans,TB,WR,178.6,16,11.2
50,Younghoe Koo,ATL,K,168,15,11.2
51,Kenyan Drake,LV,RB,167.2,15,11.2
52,Melvin Gordon III,DEN,RB,166.4,15,11.1
83,D'Andre Swift,DET,RB,143.8,13,11.1
144,Austin Ekeler,LAC,RB,111.3,10,11.1
46,DeAndre Hopkins,ARI,WR,172.8,16,10.8
47,Jason Sanders,MIA,K,172,16,10.8
89,Clyde Edwards-Helaire,KC,RB,140,13,10.8
107,Jeff Wilson Jr.,SF,RB,129.3,12,10.8
49,Darren Waller,LV,TE,171.6,16,10.7
219,Dwayne Haskins,PIT,QB,75.2,7,10.7
285,Brandon Allen,CIN,QB,53.6,5,10.7
354,Jeff Driskel,HOU,QB,32,3,10.7
181,Julio Jones,TEN,WR,95.1,9,10.6
115,Chris Godwin,TB,WR,126,12,10.5
206,Raheem Mostert,SF,RB,83.7,8,10.5
77,Keenan Allen,LAC,WR,145.1,14,10.4
119,Brandon Aiyuk,SF,WR,124.5,12,10.4
54,Tyler Lockett,SEA,WR,165.4,16,10.3
57,Allen Robinson II,CHI,WR,160.9,16,10.1
66,Brandin Cooks,HOU,WR,151,15,10.1
69,J.K. Dobbins,BAL,RB,150.5,15,10
106,James Conner,ARI,RB,129.6,13,10
212,Alex Smith,FA,QB,79.6,8,10
60,Tyler Bass,BUF,K,157,16,9.8
73,Mike Davis,ATL,RB,147.5,15,9.8
61,Robert Woods,LAR,WR,155.1,16,9.7
62,Daniel Carlson,LV,K,155,16,9.7
76,D.J. Moore,CAR,WR,145.5,15,9.7
271,Salvon Ahmed,MIA,RB,58,6,9.7
63,Greg Zuerlein,DAL,K,153,16,9.6
64,Chase Claypool,PIT,WR,152.9,16,9.6
216,George Kittle,SF,TE,77.1,8,9.6
65,Marvin Jones Jr.,JAC,WR,151.8,16,9.5
66,Los Angeles Rams,LAR,DST,151,16,9.4
69,Taysom Hill,NO,QB,150.5,16,9.4
71,Rodrigo Blankenship,IND,K,150,16,9.4
138,Jamison Crowder,NYJ,WR,113,12,9.4
246,Matt Gay,LAR,K,66,7,9.4
72,Pittsburgh Steelers,PIT,DST,148,16,9.3
308,Kenny Golladay,NYG,WR,45.8,5,9.2
75,Indianapolis Colts,IND,DST,146,16,9.1
78,Justin Tucker,BAL,K,145,16,9.1
78,Ryan Succop,TB,K,145,16,9.1
81,Amari Cooper,DAL,WR,144.8,16,9.1
96,Terry McLaurin,WAS,WR,136.8,15,9.1
97,Brandon McManus,DEN,K,136,15,9.1
254,Odell Beckham Jr.,CLE,WR,63.8,7,9.1
84,CeeDee Lamb,DAL,WR,143.7,16,9
99,Curtis Samuel,WAS,WR,135.1,15,9
114,Corey Davis,NYJ,WR,126.4,14,9
226,Antonio Brown,TB,WR,72.1,8,9
102,Diontae Johnson,PIT,WR,133.8,15,8.9
86,Baltimore Ravens,BAL,DST,141,16,8.8
86,Miami Dolphins,MIA,DST,141,16,8.8
90,Cairo Santos,CHI,K,139,16,8.7
287,C.J. Beathard,JAC,QB,52.3,6,8.7
93,Jason Myers,SEA,K,138,16,8.6
94,Nelson Agholor,NE,WR,137.6,16,8.6
95,JuJu Smith-Schuster,PIT,WR,137.1,16,8.6
198,Damien Harris,NE,RB,86.3,10,8.6
241,Sony Michel,NE,RB,68.3,8,8.5
100,Wil Lutz,NO,K,135,16,8.4
101,Harrison Butker,KC,K,134,16,8.4
116,Cole Beasley,BUF,WR,125.5,15,8.4
103,Graham Gano,NYG,K,133,16,8.3
104,Ka'imi Fairbairn,HOU,K,132,16,8.3
170,Randy Bullock,DET,K,100,12,8.3
209,Rex Burkhead,HOU,RB,82.6,10,8.3
176,Zane Gonzalez,DET,K,98,12,8.2
105,Nyheim Hines,IND,RB,130.2,16,8.1
108,Robby Anderson,CAR,WR,129.2,16,8.1
109,Joey Slye,CAR,K,129,16,8.1
111,Dustin Hopkins,WAS,K,128,16,8
112,Tee Higgins,CIN,WR,127.6,16,8
142,Mark Andrews,BAL,TE,112.1,14,8
178,Sterling Shepard,NYG,WR,96.5,12,8
113,Washington Football Team,WAS,DST,127,16,7.9
126,Stephen Gostkowski,FA,K,119,15,7.9
394,Chad Henne,KC,QB,23.7,3,7.9
117,Marquise Brown,BAL,WR,125,16,7.8
118,Robert Tonyan,GB,TE,124.6,16,7.8
120,New Orleans Saints,NO,DST,124,16,7.8
130,Cooper Kupp,LAR,WR,116.7,15,7.8
446,Garrett Gilbert,DAL,QB,15.5,2,7.8
122,Nick Folk,NE,K,123,16,7.7
